accession	genome_lineage	hedgehog_set_hash	hedgehog_precision	id	pct
EPI_ISL_10020550	BA.1.1.1	BA.1.1	BA.1.1_3	BY-RKI-I-527509|EPI_ISL_10020550|Germany|BA.1.1.1|2022-01-21	99.6374737645487
EPI_ISL_10025085	BA.1.1.1	BA.1.1	BA.1.1_3	SN-RKI-I-533293|EPI_ISL_10025085|Germany|BA.1.1.1|2022-02-02	99.5993131081855
EPI_ISL_10025768	BA.1	BA.1.15	BA.1.15	NW-RKI-I-534817|EPI_ISL_10025768|Germany|BA.1|2022-02-01	81.6256439610761
EPI_ISL_10026169	BA.1.1	BA.1.1	BA.1.1_2	HE-RKI-I-536523|EPI_ISL_10026169|Germany|BA.1.1|2022-02-03	99.6183934363671
EPI_ISL_10026425	BA.1	BA.1.1	BA.1.1_3	SH-RKI-I-536785|EPI_ISL_10026425|Germany|BA.1|2022-01-31	95.5352032054951
EPI_ISL_10028525	BA.1.1	BA.1.1	BA.1.1_3	NW-RKI-I-539949|EPI_ISL_10028525|Germany|BA.1.1|2022-02-08	89.6203014691853
EPI_ISL_10029915	BA.1.1	BA.1.1	BA.1.1_2	AZ-ASU44146|EPI_ISL_10029915|USA|BA.1.1|2022-02-11	95.9358900973097
EPI_ISL_10030258	BA.1	BA.1	BA.1_3	TH-RKI-I-541383|EPI_ISL_10030258|Germany|BA.1|2022-01-18	99.5420721236405
EPI_ISL_10030403	BA.1.1	BA.1	BA.1_4	CO-CDC-MMB13653960|EPI_ISL_10030403|USA|BA.1.1|2022-01-19	83.1329898874261
EPI_ISL_10030783	BA.1.1.18	BA.1	BA.1_4	CO-CDC-MMB13808400|EPI_ISL_10030783|USA|BA.1.1.18|2022-01-23	97.09979011639
EPI_ISL_10032058	BA.1.1	BA.1.1	BA.1.1_2	NW-RKI-I-542545|EPI_ISL_10032058|Germany|BA.1.1|2022-02-03	85.9187178019462
EPI_ISL_10032829	BA.1.1	BA.1.1	BA.1.1_2	CA-CDC-FG-266963|EPI_ISL_10032829|USA|BA.1.1|2022-02-06	95.4016409082236
EPI_ISL_10038087	BA.1	BA.1.1.16	BA.1.1.16	IMBA_IMP-1503_A01|EPI_ISL_10038087|Austria|BA.1|2022-01-14	49.7996565540927
EPI_ISL_10040049	BA.1.1.18	BA.1.1	BA.1.1_2	CA-CDC-FG-266985|EPI_ISL_10040049|USA|BA.1.1.18|2022-02-07	99.5229917954589
EPI_ISL_10040120	BA.1	BA.1.15	BA.1.15	CA-CDC-FG-266914|EPI_ISL_10040120|USA|BA.1|2022-02-07	97.8630032436558
EPI_ISL_10041119	BA.1.15	BA.1.15	BA.1.15	UT-CDC-LC0527208|EPI_ISL_10041119|USA|BA.1.15|2022-01-27	99.6374737645487
EPI_ISL_10041526	BA.1.1	BA.1.1	BA.1.1_2	NM-CDC-LC0527826|EPI_ISL_10041526|USA|BA.1.1|2022-02-01	99.6374737645487
EPI_ISL_10043912	BA.1.1	BA.1.1	BA.1.1_2	NV-CDC-ASC210693062|EPI_ISL_10043912|USA|BA.1.1|2022-02-04	96.775424537302
EPI_ISL_10046066	BA.1.1	BA.1.1	BA.1.1_2	KDCA29012|EPI_ISL_10046066|South Korea|BA.1.1|2022-01-25	99.5229917954589
EPI_ISL_10046954	BA.1.1.1	BA.1.1	BA.1.1_2	PAC-IHU-63101_Nova1|EPI_ISL_10046954|France|BA.1.1.1|2022-01	96.0122114100363
EPI_ISL_10048115	BA.1	BA.1	BA.1_4	ALDP-36927F0|EPI_ISL_10048115|United Kingdom|BA.1|2022-02-11	99.6374737645487
EPI_ISL_10049971	BA.1	BA.1	BA.1_4	MILK-3696C57|EPI_ISL_10049971|United Kingdom|BA.1|2022-02-12	99.6374737645487
EPI_ISL_10050895	BA.1.15	BA.1	BA.1_1	VT-CDCBI-CRSP_UP3Y7MB3AP4PC64O|EPI_ISL_10050895|USA|BA.1.15|2022-02-08	83.1520702156077
EPI_ISL_10052424	BA.1	BA.1	BA.1_4	MILK-369C653|EPI_ISL_10052424|United Kingdom|BA.1|2022-02-12	99.6374737645487
EPI_ISL_10052449	BA.2.3	A	A_14	ALDP-369AFF0|EPI_ISL_10052449|United Kingdom|BA.2.3|2022-02-11	99.8091967181836
EPI_ISL_10052489	BA.2.1	A	A_14	LSPA-369B672|EPI_ISL_10052489|United Kingdom|BA.2.1|2022-02-11	99.8091967181836
EPI_ISL_10053384	BA.1.15.1	BA.1.15.1	BA.1.15.1	MILK-369CE6A|EPI_ISL_10053384|United Kingdom|BA.1.15.1|2022-02-12	99.6374737645487
EPI_ISL_10053577	BA.2	A	A_14	ALDP-369F33B|EPI_ISL_10053577|United Kingdom|BA.2|2022-02-11	99.8091967181836
EPI_ISL_10053933	BC.1	BA.1.1	BA.1.1_2	RIMD05064|EPI_ISL_10053933|Japan|BC.1|2022-01-15	99.6374737645487
EPI_ISL_10056138	BA.1.1	BA.1	BA.1_4	PHEC-5R04EZ2D|EPI_ISL_10056138|United Kingdom|BA.1.1|2022	83.9534439992368
EPI_ISL_10057207	BA.1.15	BA.1.15	BA.1.15	LSPA-3677DE0|EPI_ISL_10057207|United Kingdom|BA.1.15|2022-02-10	99.6374737645487
EPI_ISL_10059257	BA.1.1.15	BA.1.1	BA.1.1_3	LSPA-368572D|EPI_ISL_10059257|United Kingdom|BA.1.1.15|2022-02-09	99.6374737645487
EPI_ISL_10059473	BA.1	BA.1.15	BA.1.15	PHEC-YYNQEY4|EPI_ISL_10059473|United Kingdom|BA.1|2022-01-24	85.7469948483114
EPI_ISL_10059974	BA.1	BA.1	BA.1_4	LSPA-3669525|EPI_ISL_10059974|United Kingdom|BA.1|2022-02-08	99.6374737645487
EPI_ISL_10060989	BD.1	BD.1	BD.1	LSPA-366880F|EPI_ISL_10060989|United Kingdom|BD.1|2022-02-10	99.6374737645487
EPI_ISL_10061571	BA.2	A	A_17	DCGC-371155|EPI_ISL_10061571|Denmark|BA.2|2022-02-12	99.8091967181836
EPI_ISL_10062635	BA.2	A	A_17	DCGC-371774|EPI_ISL_10062635|Denmark|BA.2|2022-02-10	99.7901163900019
EPI_ISL_10063815	BA.2.9	A	A_17	DCGC-372211|EPI_ISL_10063815|Denmark|BA.2.9|2022-02-12	99.7901163900019
EPI_ISL_10064040	BA.2	A	A_17	DCGC-372392|EPI_ISL_10064040|Denmark|BA.2|2022-02-12	99.8091967181836
EPI_ISL_10064453	BA.2.9	BA.2	BA.2_1	DCGC-372804|EPI_ISL_10064453|Denmark|BA.2.9|2022-02-10	89.5630604846403
EPI_ISL_10066792	BA.1.1	BA.1	BA.1_4	OR-OSPHL04990|EPI_ISL_10066792|USA|BA.1.1|2022-02-07	84.048845640145
EPI_ISL_10069830	BA.1.15	BA.1	BA.1_3	AL-FIOCRUZ-IAM7519|EPI_ISL_10069830|Brazil|BA.1.15|2022-01-06	90.9940850982637
EPI_ISL_10071149	BA.1	BA.1	BA.1_3	CA-TCPHL-020122-142|EPI_ISL_10071149|USA|BA.1|2022-01-23	96.0312917382179
EPI_ISL_10071404	BA.1.1.15	BA.1.1	BA.1.1_3	BRE-IPP05942|EPI_ISL_10071404|France|BA.1.1.15|2022-01-24	99.6374737645487
EPI_ISL_10071458	BA.1.1.1	BA.1.1	BA.1.1_3	BRE-IPP08272|EPI_ISL_10071458|France|BA.1.1.1|2022-01-31	99.6374737645487
EPI_ISL_10072222	BA.1	BA.1.1	BA.1.1_2	ZH-EMC-5054|EPI_ISL_10072222|Netherlands|BA.1|2022-02-06	95.9549704254913
EPI_ISL_10074349	BA.1.1	BA.1.1	BA.1.1_2	GA-CDC-LC0529442|EPI_ISL_10074349|USA|BA.1.1|2022-02-03	99.6374737645487
EPI_ISL_10075020	BA.1.1	BA.1.1	BA.1.1_2	MN-CDC-IBX537250476919|EPI_ISL_10075020|USA|BA.1.1|2022-02-06	96.6800228963938
EPI_ISL_10075902	BA.1.1.18	BA.1.1	BA.1.1_3	TN-ASC-210543829|EPI_ISL_10075902|USA|BA.1.1.18|2022-01-24	97.0616294600267
EPI_ISL_10075903	BA.1.15	BA.1.15	BA.1.15	TN-ASC-210543831|EPI_ISL_10075903|USA|BA.1.15|2022-01-24	99.6374737645487
EPI_ISL_10077987	BA.1	A	A_2	TN-ASC-210578358|EPI_ISL_10077987|USA|BA.1|2021-12-31	97.0043884754818
EPI_ISL_10079295	BA.1.1	BA.1.1	BA.1.1_2	MA-21965|EPI_ISL_10079295|Chile|BA.1.1|2022-01-31	99.4657508109139
EPI_ISL_10079340	BA.1.1	BA.1.1	BA.1.1_2	TA-22231|EPI_ISL_10079340|Chile|BA.1.1|2022-02-02	99.5229917954589
EPI_ISL_10079778	BA.2	A	A_17	09_SE100_22CS101838|EPI_ISL_10079778|Sweden|BA.2|2022-02-08	99.8091967181836
EPI_ISL_10080141	BA.1.20	BA.1.15	BA.1.15	DC-DFS-PHL-05556|EPI_ISL_10080141|USA|BA.1.20|2022-01-10	75.2718946765884
EPI_ISL_10081715	BA.1.1	BA.1.1	BA.1.1_2	TN-ASC-210577619|EPI_ISL_10081715|USA|BA.1.1|2021-12-29	97.4813966800229
EPI_ISL_10082275	BA.1.15	BA.1.15	BA.1.15	WI-ASC-210586840|EPI_ISL_10082275|USA|BA.1.15|2022-01-07	99.6374737645487
EPI_ISL_10082686	BA.1.1	BA.1.1	BA.1.1_2	ID-IBL-791116|EPI_ISL_10082686|USA|BA.1.1|2022-01-28	99.5993131081855
EPI_ISL_10082962	BA.1.15	BA.1.15	BA.1.15	TN-ASC-210503968|EPI_ISL_10082962|USA|BA.1.15|2022-01-03	96.9089868345736
EPI_ISL_10083202	BA.1	BA.1	BA.1_4	TN-ASC-210591399|EPI_ISL_10083202|USA|BA.1|2022-01-08	98.4544934172868
EPI_ISL_10085619	BA.1.1	BA.1.1	BA.1.1_2	MA-CDCBI-CRSP_FALSACPQJ62TZ3GR|EPI_ISL_10085619|USA|BA.1.1|2022-02-09	94.5430261400496
EPI_ISL_10085978	BA.1.1	BA.1	BA.1_1	NY-CDCBI-CRSP_JEOQM4ZB62MFX5PU|EPI_ISL_10085978|USA|BA.1.1|2022-02-08	94.523945811868
EPI_ISL_10086107	BA.1.1	BA.1.1	BA.1.1_3	CA-HLX-STM-9K5P8E4UH|EPI_ISL_10086107|USA|BA.1.1|2022-01-26	78.5537111238313
EPI_ISL_10086324	BA.1.1	BA.1.1	BA.1.1_2	CA-HLX-STM-P9U8CRV2U|EPI_ISL_10086324|USA|BA.1.1|2022-01-28	99.6374737645487
EPI_ISL_10087736	BA.1.1.18	BA.1.1	BA.1.1_3	NM-UNM-ED01314|EPI_ISL_10087736|USA|BA.1.1.18|2022-01-10	99.6374737645487
EPI_ISL_10088241	BA.1	BA.1	BA.1_2	PZH-UMB-15698|EPI_ISL_10088241|Poland|BA.1|2022-02-04	99.6374737645487
EPI_ISL_10088877	BA.1.15	BA.1.15	BA.1.15	CO-CDPHE-2102748567|EPI_ISL_10088877|USA|BA.1.15|2022-01-15	99.6374737645487
EPI_ISL_10089378	BA.1.1	BA.1.1	BA.1.1_2	CO-CDPHE-2102773243|EPI_ISL_10089378|USA|BA.1.1|2022-01-13	99.6374737645487
EPI_ISL_10089947	BA.1.1.18	BA.1.1	BA.1.1_2	CO-CDPHE-2102781686|EPI_ISL_10089947|USA|BA.1.1.18|2022-01-25	90.9368441137187
EPI_ISL_10090454	BA.1.1	BA.1.1	BA.1.1_2	CO-CDPHE-2102773103|EPI_ISL_10090454|USA|BA.1.1|2022-01-13	99.6374737645487
EPI_ISL_10090476	BA.1.15	BA.1.15	BA.1.15	CO-CDPHE-2102773008|EPI_ISL_10090476|USA|BA.1.15|2022-01-13	99.6374737645487
EPI_ISL_10092612	BA.1.1	BA.1.1	BA.1.1_2	UT-UPHL-220216273164|EPI_ISL_10092612|USA|BA.1.1|2022-01-03	99.6374737645487
EPI_ISL_10094456	BA.2	BA.2	BA.2_1	DCGC-375443|EPI_ISL_10094456|Denmark|BA.2|2022-02-13	99.8091967181836
EPI_ISL_10094787	BA.2.9	A	A_17	DCGC-375776|EPI_ISL_10094787|Denmark|BA.2.9|2022-02-11	99.9809196718184
EPI_ISL_10095863	BA.2.9	A	A_17	DCGC-376458|EPI_ISL_10095863|Denmark|BA.2.9|2022-02-13	99.8091967181836
EPI_ISL_10096006	BA.1.17	BA.1.17.2	BA.1.17.2	DMSc-07556|EPI_ISL_10096006|Thailand|BA.1.17|2022-02-03	99.6374737645487
EPI_ISL_10100575	BA.1.1.1	BA.1.1	BA.1.1_3	OCC-HCL722000608501|EPI_ISL_10100575|France|BA.1.1.1|2022-02-07	99.6374737645487
EPI_ISL_10103966	BA.1.20	BA.1	BA.1_3	BCN_InDRE_FB6015_E02313832845_S11326|EPI_ISL_10103966|Mexico|BA.1.20|2022-01-11	99.6374737645487
EPI_ISL_10104089	BA.1.1	BA.1.1	BA.1.1_2	CMX_InDRE_FB7768_E_S11621|EPI_ISL_10104089|Mexico|BA.1.1|2022-01-21	99.6374737645487
EPI_ISL_10105582	BA.1.1	BA.1.1	BA.1.1_2	ZAC_LANGEBIO_IMSS_5519|EPI_ISL_10105582|Mexico|BA.1.1|2022-01-12	99.6374737645487
EPI_ISL_10105733	BA.2	BA.2	BA.2_1	LSPA-36E2C6B|EPI_ISL_10105733|United Kingdom|BA.2|2022-02-12	94.0660179355085
EPI_ISL_10106960	BA.1.1	BA.1.1	BA.1.1_2	MILK-36A19DA|EPI_ISL_10106960|United Kingdom|BA.1.1|2022-02-12	99.6374737645487
EPI_ISL_10107484	BA.2	A	A_14	ALDP-36AF5BA|EPI_ISL_10107484|United Kingdom|BA.2|2022-02-11	99.8091967181836
EPI_ISL_10108137	BA.1	BA.1.15	BA.1.15	ALDP-36D2132|EPI_ISL_10108137|United Kingdom|BA.1|2022-02-12	99.6374737645487
EPI_ISL_10108920	BA.1.1	BA.1.1	BA.1.1_2	ALDP-36C4230|EPI_ISL_10108920|United Kingdom|BA.1.1|2022-02-12	99.6374737645487
EPI_ISL_10112961	BA.1.17.2	BA.1.17.2	BA.1.17.2	QEUH-3684F80|EPI_ISL_10112961|United Kingdom|BA.1.17.2|2022-02-11	99.6374737645487
EPI_ISL_10113381	BA.1.1	BA.1.1	BA.1.1_3	QEUH-368A904|EPI_ISL_10113381|United Kingdom|BA.1.1|2022-02-11	99.6374737645487
EPI_ISL_10113531	BA.1.1	BA.1.1	BA.1.1_3	QEUH-36810CC|EPI_ISL_10113531|United Kingdom|BA.1.1|2022-02-11	99.6374737645487
EPI_ISL_10113657	BA.2	A	A_14	QEUH-3681B8F|EPI_ISL_10113657|United Kingdom|BA.2|2022-02-11	99.8091967181836
EPI_ISL_10114066	BA.1.1	BA.1.1	BA.1.1_2	FL-CDC-STM-DCZUVT9KV|EPI_ISL_10114066|USA|BA.1.1|2022-02-06	99.6374737645487
EPI_ISL_10114251	BA.1.1	BA.1.1	BA.1.1_3	FL-CDC-STM-25V8WBK58|EPI_ISL_10114251|USA|BA.1.1|2022-02-06	99.6374737645487
EPI_ISL_10115174	BA.1.17.2	BA.1.17.2	BA.1.17.2	PZH-GUM-11821|EPI_ISL_10115174|Poland|BA.1.17.2|2022	99.6374737645487
EPI_ISL_10115323	BA.1.1.1	BA.1.1	BA.1.1_2	PZH-GUM-12263|EPI_ISL_10115323|Poland|BA.1.1.1|2022-01-28	99.5993131081855
EPI_ISL_10115737	BA.1	BA.1	BA.1_4	WSSEGorzow-22S1255|EPI_ISL_10115737|Poland|BA.1|2022-02-07	97.1951917572982
EPI_ISL_10115945	BA.2.2	BA.2.2	BA.2.2	CH22011047R|EPI_ISL_10115945|Hong Kong|BA.2.2|2022-01-24	94.0850982636901
EPI_ISL_10118558	BA.2	BA.2	BA.2_1	ALDP-3711D9C|EPI_ISL_10118558|United Kingdom|BA.2|2022-02-14	99.8091967181836
EPI_ISL_10119348	BA.1.1	BA.1.1	BA.1.1_3	TKYkbm2288|EPI_ISL_10119348|Japan|BA.1.1|2022-01-13	99.6374737645487
EPI_ISL_10120830	BA.1.1	BA.1.1	BA.1.1_2	ALDP-36EF299|EPI_ISL_10120830|United Kingdom|BA.1.1|2022-02-13	99.6374737645487
EPI_ISL_10124640	BA.2	A	A_14	LOND-YYBRCS6|EPI_ISL_10124640|United Kingdom|BA.2|2022-02-02	99.8091967181836
EPI_ISL_10126239	BA.1.14	BA.1	BA.1_3	SP-IB_SEQ46648|EPI_ISL_10126239|Brazil|BA.1.14|2022-02-08	99.6374737645487
EPI_ISL_10126737	BA.1.1	BA.1.15	BA.1.15	ZNA_25148911|EPI_ISL_10126737|Belgium|BA.1.1|2022-01-31	91.7572982255295
EPI_ISL_10127074	BA.1.17.2	BA.1.15	BA.1.15	FNHK-Ps-003405|EPI_ISL_10127074|Czech Republic|BA.1.17.2|2022-02-08	94.0850982636901
EPI_ISL_10127423	BA.1.1.1	BA.1.1	BA.1.1_2	CT-HCB-1866|EPI_ISL_10127423|Spain|BA.1.1.1|2022-02-09	94.6765884373211
EPI_ISL_10129298	BA.1	BA.1.15	BA.1.15	328138|EPI_ISL_10129298|Greece|BA.1|2022-01-23	99.6374737645487
EPI_ISL_10129397	BA.1.1.1	BA.1	BA.1_2	327891|EPI_ISL_10129397|Greece|BA.1.1.1|2022-01-22	98.4544934172868
EPI_ISL_10132642	BA.1.1.1	BA.1	BA.1_1	NAT-22-15592|EPI_ISL_10132642|Czech Republic|BA.1.1.1|2022-02-07	95.0200343445907
EPI_ISL_10136738	BA.1	BA.1.15	BA.1.15	NIC_BKK_SEQ4139|EPI_ISL_10136738|Thailand|BA.1|2022-01	98.2636901354703
EPI_ISL_10137753	BA.1.1	BA.1.1	BA.1.1_2	TN-ASC-210686298|EPI_ISL_10137753|USA|BA.1.1|2022-01-26	99.6374737645487
EPI_ISL_10138812	BA.1.1.18	BA.1.1	BA.1.1_2	TN-ASC-210548987|EPI_ISL_10138812|USA|BA.1.1.18|2022-02-08	96.8517458500286
EPI_ISL_10146179	BA.1.1	BA.1.1	BA.1.1_2	CA-CDC-FG-270049|EPI_ISL_10146179|USA|BA.1.1|2022-02-07	96.565540927304
EPI_ISL_10146571	BA.1.1.2	BA.1.1	BA.1.1_2	CA-CDC-FG-269370|EPI_ISL_10146571|USA|BA.1.1.2|2022-02-08	95.6306048464034
EPI_ISL_10152381	BA.1.18	BA.1.15	BA.1.15	01_SE100_22CS501946|EPI_ISL_10152381|Sweden|BA.1.18|2022-02-10	94.3713031864148
EPI_ISL_10157619	BA.1.1	BA.1.1	BA.1.1_2	TN-ASC-210543939|EPI_ISL_10157619|USA|BA.1.1|2022-01-24	99.6374737645487
EPI_ISL_10174523	BA.1.15	BA.1	BA.1_3	NIRE-017ff5|EPI_ISL_10174523|United Kingdom|BA.1.15|2022-01-03	96.4319786300324
EPI_ISL_10176344	BA.1.1.1	BA.1	BA.1_4	WSSEGorzow-22S1308|EPI_ISL_10176344|Poland|BA.1.1.1|2022-02-08	98.3018507918336
EPI_ISL_10177378	BA.1	BA.1	BA.1_3	NIRE-018df5|EPI_ISL_10177378|United Kingdom|BA.1|2022-01-17	96.0312917382179
EPI_ISL_10181255	BA.1.1.15	BA.1.1	BA.1.1_3	NORT-YNBZJ5C|EPI_ISL_10181255|United Kingdom|BA.1.1.15|2022	99.6374737645487
EPI_ISL_10181432	BA.2	A	A_17	NORT-YNBZRXK|EPI_ISL_10181432|United Kingdom|BA.2|2022	99.8091967181836
EPI_ISL_10181916	BA.1.17.2	BA.1.15	BA.1.15	PHEC-5R0A9Z62|EPI_ISL_10181916|United Kingdom|BA.1.17.2|2022	94.8292310627743
EPI_ISL_10182107	BA.1.1.15	BA.1.1	BA.1.1_3	PHEC-5R0B5Z7C|EPI_ISL_10182107|United Kingdom|BA.1.1.15|2022	99.6374737645487
EPI_ISL_10182878	BA.1.17.2	BA.1.17.2	BA.1.17.2	PHEC-5S079Z29|EPI_ISL_10182878|United Kingdom|BA.1.17.2|2022	99.9618393436367
EPI_ISL_10183657	BA.1.15	BA.1.15	BA.1.15	PHEC-5T039Z78|EPI_ISL_10183657|United Kingdom|BA.1.15|2022	80.7288685365388
EPI_ISL_10185299	BA.1.1.14	BA.1.1	BA.1.1_3	PHEP-YYRGDGB|EPI_ISL_10185299|United Kingdom|BA.1.1.14|2022-01-12	84.4876931883228
EPI_ISL_10186360	BA.1.1	BA.1.1	BA.1.1_2	PHWC-PEN6MG|EPI_ISL_10186360|United Kingdom|BA.1.1|2022-01-28	99.6374737645487
EPI_ISL_10186513	BA.1.1	BA.1.1	BA.1.1_2	PHWC-PENCA7|EPI_ISL_10186513|United Kingdom|BA.1.1|2022-01-30	99.5229917954589
EPI_ISL_10192381	BA.1	BA.1	BA.1_4	MILK-37096C9|EPI_ISL_10192381|United Kingdom|BA.1|2022-02-15	99.6374737645487
EPI_ISL_10193218	BA.2	A	A_14	QEUH-3725612|EPI_ISL_10193218|United Kingdom|BA.2|2022-02-15	99.8091967181836
EPI_ISL_10193357	BA.2	A	A_14	NORT-YNB341J|EPI_ISL_10193357|United Kingdom|BA.2|2022	99.8091967181836
EPI_ISL_10195716	BA.1.17.2	BA.1.17.2	BA.1.17.2	ALDP-3718982|EPI_ISL_10195716|United Kingdom|BA.1.17.2|2022-02-14	99.5802327800038
EPI_ISL_10196955	BA.1	BA.1.15	BA.1.15	NORT-YNBZBKZ|EPI_ISL_10196955|United Kingdom|BA.1|2022	99.6374737645487
EPI_ISL_10197636	BA.1	BA.1	BA.1_4	9297|EPI_ISL_10197636|Poland|BA.1|2022-02-22	97.1951917572982
EPI_ISL_10201808	BA.1	BA.1	BA.1_1	22SNR1561_wsserze|EPI_ISL_10201808|Poland|BA.1|2022-02-05	88.8380080137378
EPI_ISL_10202381	BA.2	A	A_17	DCGC-377570|EPI_ISL_10202381|Denmark|BA.2|2022-02-12	99.8091967181836
EPI_ISL_10203860	BA.2.9	A	A_17	DCGC-378112|EPI_ISL_10203860|Denmark|BA.2.9|2022-02-15	99.8091967181836
EPI_ISL_10204883	BA.2	BA.2	BA.2_1	DCGC-378775|EPI_ISL_10204883|Denmark|BA.2|2022-02-14	99.9618393436367
EPI_ISL_10205742	BA.2	BA.2	BA.2_1	DCGC-379129|EPI_ISL_10205742|Denmark|BA.2|2022-02-14	99.8091967181836
EPI_ISL_10207863	BA.2.9	BA.2	BA.2_1	DCGC-380107|EPI_ISL_10207863|Denmark|BA.2.9|2022-02-15	99.8091967181836
EPI_ISL_10210650	BA.1.1	BA.1.1	BA.1.1_3	NICD-N28332|EPI_ISL_10210650|South Africa|BA.1.1|2022-01-05	99.6183934363671
EPI_ISL_10210651	BA.1.17.2	BA.1	BA.1_2	NICD-N28324|EPI_ISL_10210651|South Africa|BA.1.17.2|2022-01-06	99.6183934363671
EPI_ISL_10213495	BA.1.1	BA.1.1	BA.1.1_2	TN-ASC-210684784|EPI_ISL_10213495|USA|BA.1.1|2022-01-25	99.6374737645487
EPI_ISL_10214270	BA.1.1	BA.1.1	BA.1.1_2	TN-ASC-210646074|EPI_ISL_10214270|USA|BA.1.1|2022-01-27	96.8708261782103
EPI_ISL_10214965	BA.1.1.18	BA.1.1	BA.1.1_3	TN-ASC-210646535|EPI_ISL_10214965|USA|BA.1.1.18|2022-01-29	87.5596260255676
EPI_ISL_10216669	BA.2.9	A	A_17	DCGC-382449|EPI_ISL_10216669|Denmark|BA.2.9|2022-02-16	99.8091967181836
EPI_ISL_10216783	BA.2	BA.2	BA.2_1	DCGC-382564|EPI_ISL_10216783|Denmark|BA.2|2022-02-11	99.8091967181836
EPI_ISL_10217925	BA.2	A	A_17	DCGC-383300|EPI_ISL_10217925|Denmark|BA.2|2022-02-15	99.8091967181836
EPI_ISL_10217953	BA.2	BA.2	BA.2_1	DCGC-383328|EPI_ISL_10217953|Denmark|BA.2|2022-01-22	96.0122114100363
EPI_ISL_10220373	BA.1.1	BA.1.1	BA.1.1_3	BFC-HMN-22022080543|EPI_ISL_10220373|France|BA.1.1|2022-01-24	98.225529479107
EPI_ISL_10220754	BA.1.1	BA.1	BA.1_4	GES-HMN-22022030744|EPI_ISL_10220754|France|BA.1.1|2022-01-11	92.6540736500668
EPI_ISL_10221274	BA.1.1.18	BA.1.1	BA.1.1_2	TN-ASC-210537625|EPI_ISL_10221274|USA|BA.1.1.18|2022-01-18	99.5039114672772
EPI_ISL_10221320	BA.1.15	BA.1	BA.1_4	TN-ASC-210537680|EPI_ISL_10221320|USA|BA.1.15|2022-01-18	99.6374737645487
EPI_ISL_10221940	BA.1.1	BA.1.1	BA.1.1_2	NC-CDC-ASC210691402|EPI_ISL_10221940|USA|BA.1.1|2022-02-02	99.6374737645487
EPI_ISL_10222119	BA.1.1	BA.1.1	BA.1.1_2	NY-CDC-ASC210692735|EPI_ISL_10222119|USA|BA.1.1|2022-02-02	96.8517458500286
EPI_ISL_10223273	BA.1.1	BA.1.1	BA.1.1_2	SK-RRPL-344961|EPI_ISL_10223273|Canada|BA.1.1|2022-01-28	99.6374737645487
EPI_ISL_10224184	BA.1.1	BA.1.1	BA.1.1_2	FL-CDC-STM-6HS3KAV6S|EPI_ISL_10224184|USA|BA.1.1|2022-02-02	99.6374737645487
